title,rating
Delia Owens: Ahol a folyami rákok énekelnek,95%
Rachel Van Dyken: The Matchmaker's Replacement – A randiguru szárnysegéde,92%
Péterfy-Novák Éva: Apád előtt ne vetkőzz,94%
Szvetlana Alekszijevics: Csernobili ima,94%
Böszörményi Gyula: Szer'usz világ,96%
Beth O'Leary: Az ágybérlő,91%
Sally Rooney: Normális emberek,87%
J. K. Rowling: Harry Potter és a bölcsek köve,94%
Grecsó Krisztián: Vera,87%
Antoine de Saint-Exupéry: A kis herceg,92%
J. K. Rowling: Harry Potter és a Titkok Kamrája,93%
Corinne Michaels: Miénk az éjszaka,85%
Margaret Atwood: A szolgálólány meséje,85%
Vi Keeland: Egomániás,92%
J. K. Rowling: Harry Potter és a Főnix Rendje,93%
Krusovszky Dénes: Akik már nem leszünk sosem,90%
Szabó Magda: Az őz,92%
Karin Tidbeck: Rénszarvas-hegy és más történetek a peremlétről,81%
Szerb Antal: Utas és holdvilág,90%
"R. Kelényi Angelika: Barcelona, Barcelona",92%
Böszörményi Gyula: Leányrablás Budapesten,93%
Rachel Van Dyken: The Matchmaker's Playbook – A csábítás szabályai,84%
Emma Chase: Felséged szolgálatában,85%
Orvos-Tóth Noémi: Örökölt sors,93%
J. K. Rowling: Harry Potter és a Tűz Serlege,94%
Edith Eva Eger: A döntés,97%
Sarah J. Maas: A Court of Wings and Ruin – Szárnyak és pusztulás udvara,92%
Rachael Lippincott – Mikki Daughtry – Tobias Iaconis: Két lépés távolság,92%
J. K. Rowling: Harry Potter és az azkabani fogoly,95%
Stephen King: Az,90%
Vi Keeland – Penelope Ward: Szívtipró pilóta,86%
Mary Ann Shaffer – Annie Barrows: Krumplihéjpite Irodalmi Társaság,92%
Aly Martinez: Hazug valóság,84%
Leiner Laura: Maradj velem,92%
E. L. James: Mister,74%
Andrzej Sapkowski: Az utolsó kívánság,90%
Böszörményi Gyula: Nász és téboly,97%
Karen M. McManus: Lehull a lepel,89%
Böszörményi Gyula: Ármány és kézfogó,96%
Darren Shan: Rémségek Cirkusza,87%
Böszörményi Gyula: Beretva és tőr,94%
Jojo Moyes: Mióta megszerettelek,94%
Michelle Obama: Így lettem,94%
Guillaume Musso: Central Park,82%
Sarah J. Maas: A Court of Thorns and Roses – Tüskék és rózsák udvara,93%
Agatha Christie: Tíz kicsi néger,95%
"Jessica Sorensen: The Destiny of Violet & Luke – Violet, Luke és a sors",83%
Péterfy-Novák Éva: Egyasszony,93%
Böszörményi Gyula: A Rudnay-gyilkosságok,97%
Giovanna Fletcher – Tom Fletcher: Eve of Man – A jövő reménye,86%
L. J. Shen: Sparrow,85%
Szentesi Éva: Pedig olyan szépen éltek,87%
Anne Cathrine Bomann: Agathe,82%
Erin Watt: Papír hercegnő,87%
Liane Moriarty: Hatalmas kis hazugságok,94%
George R. R. Martin: Trónok harca,95%
J. K. Rowling: Harry Potter és a Félvér Herceg,95%
Anna Todd: After – Miután,78%
Elle Kennedy: The Deal – Az üzlet,94%
Sarah J. Maas: A Court of Mist and Fury – Köd és harag udvara,97%
Leiner Laura: Ég veled,94%
Neil Gaiman – Terry Pratchett: Elveszett próféciák,89%
Colleen Hoover: It Ends with Us – Velünk véget ér,95%
Aly Martinez: Kínzó valóság,87%
Brian K. Vaughan: Saga 3.,95%
J.D. Barker: A negyedik majom,92%
Alessandro Baricco: Selyem,85%
Fredrik Backman: Amit a fiamnak tudnia kell a világról,94%
Sarah J. Maas: Empire of Storms – Viharok birodalma,96%
Mucha Dorka: Puncs,82%
Cassandra Clare: Csontváros,89%
Elena Ferrante: Briliáns barátnőm,90%
George Orwell: 1984,93%
Böszörményi Gyula: Bitó és borostyán,96%
Tara Westover: A tanult lány,89%
Sarah J. Maas: Throne of Glass – Üvegtrón,90%
Robert Galbraith: Halálos fehér,88%
Lisa Wingate: Elrabolt életek,93%
"D. Tóth Kriszta: Jöttem, hadd lássalak",90%
M. Robinson: El Diablo,83%
Madeline Miller: Kirké,91%
J. K. Rowling: Harry Potter és a Halál ereklyéi,95%
Kerstin Gier: Fellegszálló,86%
Adrian McKinty: A lánc,75%
Guillaume Musso: Holnap,90%
Margaret Atwood: Guvat és Gazella,88%
Molnár Ferenc: A Pál utcai fiúk,87%
Agatha Christie: Gyilkosság az Orient expresszen,94%
Cassandra Clare: Üvegváros,94%
J. K. Rowling – John Tiffany – Jack Thorne: Harry Potter és az elátkozott gyermek,79%
Colleen Hoover: Ugly Love – Csúf szerelem,91%
André Aciman: Szólíts a neveden,85%
"Gail Honeyman: Eleanor Oliphant köszöni, jól van",92%
Sarah J. Maas: Tower of Dawn – A hajnal tornya,94%
Dot Hutchison: Pillangók kertje,91%
Jojo Moyes: Mielőtt megismertelek,95%
Christelle Dabos: A tél jegyesei,92%
Vi Keeland – Penelope Ward: Nagyképű öltönyös,87%
Colleen Hoover: Too Late – Túl késő,86%
Szabó Magda: Az ajtó,92%
